Game,# Survived,Stars: Winner,Av Resources,AFK Rate,Days,# >10,Target,Ticks
Chi Alrischa,15,290,21.47,0.203125,26,11,289,629
Delta Heze,11,278,21.36,0.234375,24,6,278,566
Epsilon Alshain,9,285,20.93,0.1875,28,7,285,675
Eta Biham,11,289,21.04,0.296875,31,9,289,738
Eta Dnoces,16,325,21.21,0.3125,22,11,294,537
Gamma Etamin,12,293,21.13,0.234375,31,8,293,734
Gamma Haldus,9,292,21.21,0.21875,33,5,290,786
Gamma Merak,8,286,22.26,0.3125,33,6,283,780
Iota Alruccabah,13,278,20.92,0.25,31,11,277,739
Iota Cheleb,16,282,21.28,0.34375,22,12,282,528
Kappa Azelfafage,9,291,21.08,0.3125,35,6,285,839
Kappa Hadar,13,290,21.4,0.28125,27,7,289,638
Kappa Menkent,8,232,20.44,0.4375,50,10,284,1197
Lambda Sham,12,208,20.89,0.234375,33,9,291,789
Lambda Thabit,15,251,21.42,0.171875,30,8,280,724
Mu Aldebaran,11,289,21.54,0.25,26,6,286,621
Mu Asterope,14,286,21.13,0.328125,21,15,284,493
Mu Tejat Prior,13,196,20.76,0.3125,22,11,288,529
Nu Baham,11,242,21.16,0.359375,24,8,288,583
Nu Ras Thaoum,15,288,21.65,0.140625,25,11,287,598
Omicron Naos,9,295,21.44,0.375,34,7,295,808
Omicron Septentrionalis,11,220,21.28,0.34375,29,10,298,702
Phi Brachium,11,283,21.33,0.328125,23,10,283,562
Phi Tania,10,294,21.31,0.1875,29,7,290,685
Pi Betelgeuse,14,288,20.86,0.203125,28,10,288,668
Pi Septentrionalis,18,292,20.76,0.21875,30,10,288,717
Psi Peacock,11,287,21.38,0.265625,33,6,286,789
Rho Ascella,8,283,21.45,0.296875,50,6,283,1197
Rho Lanx,16,216,21.16,0.28125,28,7,283,674
Rho Sham,14,288,20.65,0.359375,26,11,288,619
Sigma Murzim,15,276,21.87,0.125,39,6,275,927
Sigma Talitha,6,228,20.89,0.328125,28,6,273,677
Tau Alhena,11,218,21.93,0.421875,31,10,279,746
Tau Pollux,12,279,21.99,0.265625,28,9,279,670
Tau Rigel,11,203,21.28,0.296875,31,8,280,735
Theta Okul,15,280,20.5,0.265625,31,9,280,735
Xi Sadalmelik,13,288,21.03,0.215384615,34,7,287,811
Zeta Canopus,11,285,21.03,0.349206349,33,8,283,801
